"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"HEG1" 413.194523462535 1.26514626886533 0.144657783184082 8.74578775519732 2.21465061305943e-18 2.51530138333591e-16
"ABTB1" 216.073636413799 1.23459333110624 0.330434988166663 3.73626696723637 0.000186772374787585 0.00187330081370496
"EFCAB12" 389.730549801198 -1.8703355831814 0.209533801334783 -8.92617597383759 4.40988771485964e-19 5.15695535959179e-17
"ACPP" 829.675622679934 1.6383124755403 0.223542408240261 7.32886653784037 2.32107386226172e-13 1.41477965496238e-11
"PLOD2" 25.720459654066 -1.41295162074001 0.528684227849669 -2.67258137525106 0.00752701160413366 0.0381473297574505
"TM4SF1" 50.9364268648321 -3.55055919006794 1.02488777927525 -3.4643394739068 0.00053153527179346 0.00441649859779124
"WWTR1" 60.5756856621596 -1.4330506405188 0.401317085909322 -3.57086874901359 0.000355799163332294 0.00317703698615776
"ARHGEF26" 8976.39668539033 -1.38605197110139 0.129103066252593 -10.736011245384 6.89597905420185e-27 1.67487417428746e-24
"SI" 566.582389699538 1.87793098791285 0.323757574936809 5.80042332068798 6.6147716856454e-09 1.98909334478636e-07
"LRRIQ4" 15.5511813720537 3.42001676744009 1.05386219555854 3.24522198618909 0.00117359097815533 0.00853541043863945
"LRRC31" 397.010351208731 1.8125807081837 0.267606932490145 6.77329503879895 1.25881867846245e-11 5.89702388038181e-10
"EIF5A2" 450.101999368061 1.16886703708899 0.251915285559445 4.63992105319535 3.48542303468807e-06 5.89126054053754e-05
"PLD1" 30.5391140946791 1.54477165501359 0.553621369358723 2.79030351881638 0.00526586507689332 0.0286169404368037
"GNB4" 1333.56012495122 -1.38552414095717 0.335444698977592 -4.13041000552442 3.62116831404693e-05 0.000465911851457693
"THPO" 23.5269593522152 2.3693053404004 0.654109209336186 3.62218618325961 0.000292123741335353 0.00269564653046699
"CHRD" 32.3815507445964 3.2988076641019 0.72471943656691 4.55184102654785 5.31785126840081e-06 8.5841429421517e-05
"AHSG" 11.2723654764378 -2.89198655662694 0.956928263611055 -3.0221560660292 0.00250981113027062 0.0158173206840648
"APOD" 234.064410419091 -1.27103549854079 0.436684798585471 -2.91064745706281 0.00360680728961619 0.0212385925703733
"AC092442.1" 50.5138613912838 1.2334361796988 0.3380056149401 3.64915884582978 0.00026310038786063 0.00246942082232804
"C1QTNF7" 6.29797305049746 -3.07439260904651 1.17589135290236 -2.61452097717892 0.00893526734370556 0.0437941836557217
"SMIM14" 2303.96460305829 1.25637407169114 0.28041256414331 4.48044856880609 7.44863277246782e-06 0.000115625924856391
