"baseMean.AR" "log2FoldChange.AR" "lfcSE.AR" "stat.AR" "pvalue.AR" "padj.AR" "baseMean.HOX" "log2FoldChange.HOX" "lfcSE.HOX" "stat.HOX" "pvalue.HOX" "padj.HOX"
"ABCB4" 4.99859685476071 0.801703157503481 0.978383318022239 0.81941621727984 0.412548985422485 1 0 0 NA NA NA 1
"ABCB5" 36.008277320783 -0.787078582580636 0.683337270704376 -1.15181567920234 0.249396823485654 0.476781903763783 0 0 NA NA NA 1
"ABCB6" 3439.50216569136 -0.148084937584033 0.0902820145028218 -1.64024848580893 0.10095351176089 0.265935773430531 34.6275133458091 0.154858194416647 0.251080213623863 0.616767813686172 0.537387884614077 0.819227571675915
"ABCB7" 1357.57288088567 -0.241284399289758 0.109200897793045 -2.20954593017206 0.027136691407515 0.104108614155635 9.11893702147543 -0.178396507009051 0.481123872376339 -0.370791218751889 0.710793042312857 0.898631051427802
"ABCB8" 1834.20910208492 0.166669399540374 0.10598621011518 1.57255740496095 0.115821337141813 0.290787444252195 20.3909600132622 0.465417150585537 0.327749357877824 1.42003985484247 0.155596078510472 0.453090160899569
"ABCB9" 3454.88152924371 0.0554908510177991 0.0771613616784169 0.719153340619709 0.472046444731228 0.694390348767415 3.75000854966075 -0.173028858346895 0.748969833681383 -0.231022466547701 0.817297348306426 1
"ABCC1" 7947.66984681866 -0.337274115176303 0.113255178740555 -2.97800170311798 0.00290134372493962 0.0179000331149932 31.298798410395 0.750402159593645 0.270673375398632 2.77235305647811 0.00556526394942349 0.0434050211291191
"ABCC10" 717.782103789558 0.11235565105445 0.249109915302556 0.451028418190374 0.651969067296537 0.825497257804195 3.13131307186847 0.849538273582832 0.836594467519139 1.01547201967768 0.309880877709777 1
"ABCC11" 496.291199357648 0.274680088354167 0.166940802979664 1.64537418924256 0.09989266891197 0.264104730927567 0.503242638397526 2.46197643797513 2.05480825899146 1.19815385557362 0.230857125829815 1
"ABCC12" 1.66672821279724 2.01539268261548 1.80648384455839 1.11564390054546 0.264574592643834 1 0 0 NA NA NA 1
"ABCC2" 28.1058758242098 -0.452093683341825 0.439849826200891 -1.02783644874135 0.304026767787562 0.537042622636835 0 0 NA NA NA 1
"ABCC3" 15.3500868957352 1.95802888549052 0.735969593729663 2.66047524540768 0.00780304629446354 0.039319084535811 0 0 NA NA NA 1
"ABCC4" 3696.6028815373 -0.95267558296623 0.069493809698458 -13.7087833736559 8.99535190747799e-43 5.91706752347313e-40 38.4792981856173 -0.112110030286323 0.238840027347539 -0.469393809452174 0.638788172471833 0.867164101145532
"ABCC5" 4688.94667957342 0.581397827883207 0.0908110001896651 6.40228415796453 1.53069437835075e-10 6.32593511806893e-09 5.5085710145012 0.416044448400143 0.62682772095027 0.663730135880749 0.506863047843387 1
"ABCC6" 342.043970104492 0.465388485854963 0.428986143322307 1.08485668616412 0.277985134371432 0.509230832713135 0.880674598038337 3.26933240205672 1.73926393890117 1.87972183458378 0.0601459982031247 1
"ABCC8" 34.4986394771204 0.555400435273726 0.937456095359714 0.592454876578098 0.553546028398559 0.759634140327543 0 0 NA NA NA 1
"ABCC9" 0.66654895259408 0.0149742004337543 3.35213626917711 0.00446706196625779 0.99643581207866 1 0 0 NA NA NA 1
