"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"PRC1" 25.8068576142666 -1.10808408757714 0.303077735180031 -3.65610521313592 0.000256076287103308 0.00367042678181408
"FIGNL1" 12.204961331781 -1.45065805350564 0.449316856943177 -3.22858586560686 0.00124403905725685 0.0135770760055951
"RPP25L" 21.0403203515756 -1.67072915775724 0.355138625121395 -4.70444226444292 2.545608896437e-06 7.26512273540649e-05
"CDC42SE2" 16.0716927776589 -1.29468980312302 0.385325272624239 -3.35999192138526 0.000779447516897752 0.00930462856499764
"HOXB13" 45.5239011248576 -2.33128284498612 0.263771687579334 -8.83826033938894 9.72205221743279e-19 2.06920724078256e-16
"DEK" 60.7868991395115 -1.32384890971995 0.211647587371855 -6.25496811071138 3.97597144897267e-10 2.81813360943667e-08
"LIMCH1" 217.424515571854 1.31553075374743 0.120816842343442 10.888637115741 1.30579721306573e-27 6.01599430305283e-25
"PPIH" 30.0386672738822 -1.07194759155484 0.282415991800729 -3.79563347216965 0.000147266938294717 0.00229993160290781
"ANP32E" 16.5683689343864 -1.41071234528311 0.385809969691701 -3.65649531143637 0.000255687085698194 0.00367042678181408
"UGT2B15" 200.468664841288 2.17421209131301 0.187352834538591 11.6049063077568 3.89113563843317e-31 2.09148540565783e-28
"SCAMP2" 18.0553325944214 -1.42360840045319 0.377571815244094 -3.77043079747054 0.000162965988966031 0.0025026919734069
"PSIP1" 27.790918781793 -1.0197163041112 0.303609748780443 -3.35864150676076 0.00078326607155738 0.00930462856499764
"GALNT1" 26.5369526142994 -1.16817627519617 0.307665374845886 -3.79690524415146 0.000146513760904103 0.0022993035470352
"POLA2" 12.0784516758051 -1.5071865999956 0.454811922820759 -3.31386783057045 0.000920149908609408 0.0105815719923345
"GPR126" 137.721245448081 -1.65433000319503 0.155552593748918 -10.635181087789 2.04431223227223e-26 8.24113368634744e-24
"EMC3" 44.8739584162847 1.15515686422659 0.241409623536157 4.78504894422148 1.70945670917686e-06 5.25047417818608e-05
"FOXM1" 35.2717390514885 -1.2499826686899 0.263203961474392 -4.7491027934681 2.04321075594443e-06 6.12963226783329e-05
"SLC37A4" 16.5684920935835 -1.35705520812857 0.384616176447991 -3.52833627711984 0.000418180544401385 0.00560641662059739
"FEN1" 24.2605012712426 -2.02838713770778 0.34970935617678 -5.80020837841816 6.62325631971052e-09 3.71478289235938e-07
"CHTF18" 13.5829269325537 -1.24811761920882 0.420264362839109 -2.96983929538332 0.0029795557434404 0.0266179148825354
"NUDT8" 297.242113528377 1.91484814596656 0.128723558940241 14.8756619357884 4.74271014035336e-50 7.64762010131979e-47
"NCAPD2" 42.3556403910341 -1.47685924228607 0.247694079385935 -5.96243255368636 2.48510239606394e-09 1.57146180927573e-07
"BAX" 32.6616080548476 -1.11592860862417 0.273599278071385 -4.07869719719439 4.52887782768077e-05 0.000859154764368853
"MYBL2" 38.470425922419 -1.752728305846 0.265940755102753 -6.59067206592232 4.37840030956414e-11 3.62060025598574e-09
"THOC6" 15.8121928543616 -1.43296575091298 0.398810505716777 -3.5930993049883 0.000326767981964877 0.00451317662456843
"PRR15L" 17.5423774433828 1.2912369096843 0.369335761849419 3.49610582852453 0.000472101422492698 0.00620173966410977
"KCNN2" 8.45027112665013 -3.63655350769194 0.772511263351416 -4.70744399494622 2.50842165497488e-06 7.19080874426132e-05
"RMI2" 8.8303667349594 -2.27797380771247 0.581397827972534 -3.91809824205274 8.92503326563845e-05 0.00151490696219389
"EFNA5" 30.0480891603515 -1.07158298108093 0.285655712037719 -3.75130948174224 0.000175913399031392 0.00266974452647642
"HMMR" 32.0156188860325 -1.48517870667489 0.284103229875342 -5.2276023307674 1.71722359879363e-07 6.96477011365143e-06
"THRSP" 9.19753021433864 5.17135778079972 1.11320927707976 4.64544977056384 3.39336333144646e-06 9.43413512406451e-05
"TRIM14" 9.33686520486617 -1.86422009973705 0.539658025378137 -3.45444709810587 0.000551422386713714 0.0071133487886069
"HADHB" 33.1293507635707 -1.58021095884439 0.278129969249676 -5.68155586795409 1.3347489917428e-08 6.942847578017e-07
"EXOSC6" 14.5818358182372 -1.09353223757706 0.401993233428854 -2.7202752351069 0.00652275988917363 0.0488071940663224
"CDC20" 74.9100138657037 -1.18411159457915 0.183078674207459 -6.46777457672299 9.94567142549815e-11 7.91970132030408e-09
"LRRC26" 106.40411814267 1.34603121234543 0.16412942137039 8.20103550665572 2.38325120066082e-16 3.57487680099123e-14
"KIF2C" 17.2991549285431 -1.66456618151864 0.389640411795202 -4.27205734089396 1.93677754905132e-05 0.000405591402317565
"YES1" 12.2024077987966 -1.68626425759111 0.457985578385722 -3.68191562610934 0.00023148802749154 0.00337982381759363
"TOM1L2" 20.5612469627436 1.37876004092143 0.345398144820455 3.99179920794923 6.55738849929146e-05 0.00116837447017762
"EI24" 69.8791112512096 -1.31983000733913 0.200803586100061 -6.57274121928008 4.93972688178465e-11 4.03306815031785e-09
"ST6GALNAC4" 14.9209423913729 1.28339320937157 0.408145098090727 3.14445332156429 0.00166397455097133 0.0171278078720818
